PrimFocus,1908,1914,1922,1945,1969,1972,1974,1975,1976,1984,1985,1991,1992,1994,1996,1997,1998,2002,2006,2007,2009,2010,2011,2012,2013,2014,2016
"Arts, culture, creative practices",,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
Community improvement and capacity building,1.0,,1.0,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,
Education,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,,,1.0,,,,,,1.0,
Environment,,1.0,,,,,,,1.0,,,,1.0,1.0,,,,,1.0,1.0,,1.0,,1.0,2.0,,
Food,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,1.0,,,
Housing and shelter,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
"Legal services, civil rights",,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,
Other,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0
Research in science and/or technology,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
Youth,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,
