,id,GroupCount
0,74,45
1,75,46
2,76,51
3,77,51
4,146,44
5,147,44
6,148,44
7,150,44
8,151,44
9,152,43
10,153,44
11,154,45
12,155,51
13,224,44
14,225,43
15,226,44
16,227,45
17,228,45
18,229,44
19,230,43
20,231,42
21,232,45
22,233,51
23,300,42
24,301,44
25,302,43
26,303,43
27,304,44
28,305,44
29,306,43
30,307,44
31,308,44
32,309,45
33,310,51
34,378,44
35,379,44
36,380,43
37,381,42
38,382,42
39,383,44
40,384,44
41,385,44
42,386,44
43,387,45
44,388,51
45,456,44
46,457,43
47,458,42
48,459,42
49,460,44
50,461,44
51,462,44
52,463,42
53,464,44
54,465,45
55,466,51
56,534,44
57,535,44
58,536,42
59,537,44
60,538,44
61,539,44
62,540,44
63,541,44
64,542,42
65,543,43
66,544,49
67,608,46
68,609,46
69,610,44
70,611,44
71,612,46
72,613,44
73,614,44
74,615,42
75,616,44
76,617,44
77,618,44
78,619,44
79,620,51
80,621,49
81,677,44
82,678,44
83,679,44
84,680,45
85,681,45
86,682,45
87,684,44
88,685,44
89,686,46
90,687,46
91,688,43
92,689,42
93,690,45
94,691,44
95,692,44
96,693,44
97,694,42
98,695,44
99,696,42
100,697,42
101,698,51
102,699,51
103,753,44
104,754,44
105,755,43
106,756,43
107,757,46
108,758,45
109,759,45
110,760,46
111,761,46
112,762,43
113,763,43
114,764,45
115,765,43
116,766,42
117,767,44
118,768,44
119,769,44
120,770,44
121,771,42
122,772,44
123,773,44
124,774,44
125,775,51
126,776,51
127,831,44
128,832,44
129,833,45
130,834,43
131,835,43
132,836,45
133,837,45
134,838,45
135,839,45
136,840,45
137,841,45
138,842,45
139,843,45
140,844,42
141,845,44
142,846,44
143,847,44
144,848,42
145,849,42
146,850,44
147,851,44
148,852,44
149,853,51
150,854,51
151,855,49
152,908,44
153,909,43
154,910,45
155,911,44
156,912,42
157,913,44
158,914,45
159,915,44
160,916,44
161,917,44
162,918,44
163,919,44
164,920,44
165,921,44
166,922,42
167,923,44
168,924,44
169,925,44
170,926,44
171,927,44
172,928,44
173,929,44
174,930,45
175,931,51
176,986,45
177,987,46
178,988,45
179,989,42
180,990,44
181,991,44
182,992,44
183,993,44
184,994,44
185,995,44
186,996,44
187,997,44
188,998,44
189,999,44
190,1000,44
191,1001,44
192,1002,42
193,1003,44
194,1004,44
195,1005,44
196,1006,44
197,1007,44
198,1008,45
199,1009,51
200,1064,46
201,1065,45
202,1066,44
203,1067,44
204,1068,44
205,1069,44
206,1070,44
207,1071,44
208,1072,44
209,1073,44
210,1074,44
211,1075,42
212,1076,42
213,1077,44
214,1078,44
215,1079,44
216,1080,44
217,1081,44
218,1082,44
219,1083,44
220,1084,44
221,1085,45
222,1086,51
223,1143,44
224,1144,42
225,1145,44
226,1146,42
227,1147,44
228,1148,44
229,1149,44
230,1150,44
231,1151,44
232,1152,44
233,1153,42
234,1154,43
235,1155,44
236,1156,44
237,1157,44
238,1158,44
239,1159,42
240,1160,42
241,1161,42
242,1162,44
243,1163,44
244,1164,52
245,1220,44
246,1221,46
247,1222,44
248,1223,42
249,1224,44
250,1225,44
251,1226,44
252,1227,44
253,1228,44
254,1229,44
255,1230,44
256,1231,44
257,1232,44
258,1233,44
259,1234,44
260,1235,42
261,1236,42
262,1237,42
263,1238,42
264,1239,42
265,1240,44
266,1241,51
267,1299,44
268,1300,46
269,1301,42
270,1302,44
271,1303,44
272,1304,44
273,1305,44
274,1306,44
275,1307,44
276,1308,44
277,1309,42
278,1310,44
279,1311,44
280,1312,44
281,1313,44
282,1314,44
283,1315,42
284,1316,44
285,1317,42
286,1318,42
287,1319,51
288,1377,44
289,1378,45
290,1379,44
291,1380,44
292,1381,42
293,1382,44
294,1383,42
295,1384,43
296,1385,44
297,1386,44
298,1387,44
299,1388,44
300,1389,44
301,1390,42
302,1391,44
303,1392,44
304,1393,42
305,1394,42
306,1395,45
307,1396,51
308,1455,44
309,1456,42
310,1457,45
311,1458,44
312,1459,43
313,1460,42
314,1461,44
315,1462,44
316,1463,43
317,1464,44
318,1465,44
319,1466,44
320,1467,44
321,1468,44
322,1469,42
323,1470,44
324,1471,44
325,1472,43
326,1473,51
327,1474,51
328,1475,51
329,1532,46
330,1533,45
331,1534,43
332,1535,42
333,1536,44
334,1537,44
335,1538,44
336,1539,44
337,1540,42
338,1541,44
339,1542,44
340,1543,44
341,1544,44
342,1545,44
343,1546,44
344,1547,44
345,1548,42
346,1549,45
347,1550,49
348,1551,14
349,1552,49
350,1553,49
351,1611,45
352,1612,45
353,1613,42
354,1614,42
355,1615,42
356,1616,42
357,1617,42
358,1618,43
359,1619,44
360,1620,44
361,1621,44
362,1622,44
363,1623,44
364,1624,44
365,1625,44
366,1626,45
367,1627,45
368,1628,49
369,1629,49
370,1630,49
371,1688,46
372,1689,47
373,1690,45
374,1691,44
375,1692,44
376,1693,44
377,1694,44
378,1695,43
379,1696,42
380,1697,44
381,1698,44
382,1699,44
383,1700,44
384,1701,42
385,1702,42
386,1703,44
387,1704,45
388,1705,45
389,1706,49
390,1766,25
391,1767,46
392,1768,44
393,1769,44
394,1770,44
395,1771,44
396,1772,45
397,1773,44
398,1774,44
399,1775,44
400,1776,44
401,1777,44
402,1778,44
403,1779,42
404,1780,44
405,1781,42
406,1782,45
407,1783,45
408,1784,51
409,1844,46
410,1845,43
411,1846,42
412,1847,44
413,1848,44
414,1849,44
415,1850,44
416,1851,44
417,1852,44
418,1853,43
419,1854,42
420,1855,43
421,1856,42
422,1857,44
423,1858,42
424,1859,45
425,1860,51
426,1861,51
427,1922,46
428,1923,44
429,1924,44
430,1925,44
431,1926,44
432,1927,44
433,1928,44
434,1929,44
435,1930,44
436,1931,44
437,1932,43
438,1933,44
439,1934,42
440,1935,44
441,1936,43
442,1937,42
443,1938,51
444,1939,51
445,2000,46
446,2001,44
447,2002,44
448,2003,44
449,2004,44
450,2005,44
451,2006,44
452,2007,42
453,2008,44
454,2009,42
455,2010,44
456,2011,44
457,2012,44
458,2013,44
459,2014,44
460,2015,51
461,2078,46
462,2079,44
463,2080,44
464,2081,44
465,2082,44
466,2083,43
467,2084,42
468,2085,44
469,2086,44
470,2087,42
471,2088,43
472,2089,42
473,2090,44
474,2091,42
475,2092,51
476,2093,51
477,2155,51
478,2156,46
479,2157,44
480,2158,44
481,2159,43
482,2160,43
483,2161,44
484,2162,44
485,2163,44
486,2164,42
487,2165,44
488,2166,44
489,2167,44
490,2168,44
491,2169,51
492,2170,51
493,2234,51
494,2235,44
495,2236,45
496,2237,43
497,2238,44
498,2239,43
499,2240,44
500,2241,44
501,2242,44
502,2243,44
503,2244,44
504,2245,44
505,2246,51
506,2247,51
507,2312,50
508,2313,51
509,2314,49
510,2315,51
511,2316,50
512,2317,44
513,2318,42
514,2319,42
515,2320,44
516,2321,42
517,2322,44
518,2323,51
519,2324,51
520,2391,13
521,2393,13
522,2395,51
523,2396,45
524,2397,44
525,2398,44
526,2399,42
527,2400,51
528,2401,51
529,2473,51
530,2474,51
531,2475,45
532,2476,43
533,2477,51
534,2553,51
535,2554,49
536,2555,49
537,2558,11
538,2559,11
539,2614,19
540,2615,54
541,2616,54
542,2638,11
543,2692,55
544,2693,17
545,2694,54
546,2703,56
547,2704,58
548,2705,58
549,2706,58
550,2707,58
551,2708,58
552,2770,21
553,2780,59
554,2781,58
555,2782,51
556,2783,51
557,2784,49
558,2785,51
559,2786,58
560,2787,58
561,2851,54
562,2857,55
563,2858,58
564,2859,53
565,2860,52
566,2861,49
567,2862,49
568,2863,51
569,2864,52
570,2865,53
571,2866,58
572,2924,57
573,2927,53
574,2928,54
575,2929,53
576,2930,61
577,2931,57
578,2934,57
579,2935,58
580,2936,51
581,2937,54
582,2938,50
583,2939,49
584,2940,51
585,2941,52
586,2942,52
587,2943,58
588,2998,54
589,2999,56
590,3000,54
591,3001,57
592,3002,58
