OrgName,PrimFocus,id_str,_boroname,_ntaname,YrFnd_Num
American Scottish Foundation,"Arts, culture, creative practices",3837,Manhattan,Washington Heights South,1956
American Scottish Foundation,"Arts, culture, creative practices",6052,Queens,Brookville,1956
American Scottish Foundation,"Arts, culture, creative practices",5107,Queens,Forest Hills,1956
American Scottish Foundation,"Arts, culture, creative practices",3307,Manhattan,Midtown-Midtown South,1956
American Scottish Foundation,"Arts, culture, creative practices",616,Staten Island,Rossville-Woodrow,1956
American Scottish Foundation,"Arts, culture, creative practices",3768,Manhattan,East Harlem South,1956
American Scottish Foundation,"Arts, culture, creative practices",5562,Queens,Whitestone,1956
American Scottish Foundation,"Arts, culture, creative practices",5810,Queens,Jamaica Estates-Holliswood,1956
American Scottish Foundation,"Arts, culture, creative practices",3094,Brooklyn,Sunset Park East,1956
American Scottish Foundation,"Arts, culture, creative practices",4920,Bronx,Williamsbridge-Olinville,1956
American Scottish Foundation,"Arts, culture, creative practices",4385,Bronx,Morrisania-Melrose,1956
American Scottish Foundation,"Arts, culture, creative practices",5561,Queens,Whitestone,1956
American Scottish Foundation,"Arts, culture, creative practices",3642,Brooklyn,Midwood,1956
American Scottish Foundation,"Arts, culture, creative practices",2943,Brooklyn,Bay Ridge,1956
American Scottish Foundation,"Arts, culture, creative practices",3470,Manhattan,Lower East Side,1956
American Scottish Foundation,"Arts, culture, creative practices",3715,Brooklyn,Flatbush,1956
American Scottish Foundation,"Arts, culture, creative practices",3002,Manhattan,Battery Park City-Lower Manhattan,1956
American Scottish Foundation,"Arts, culture, creative practices",4957,Queens,Woodhaven,1956
American Scottish Foundation,"Arts, culture, creative practices",5415,Queens,Kew Gardens Hills,1956
American Scottish Foundation,"Arts, culture, creative practices",6374,Queens,Far Rockaway-Bayswater,1956
American Scottish Foundation,"Arts, culture, creative practices",1933,Staten Island,Old Town-Dongan Hills-South Beach,1956
American Scottish Foundation,"Arts, culture, creative practices",997,Staten Island,New Springville-Bloomfield-Travis,1956
American Scottish Foundation,"Arts, culture, creative practices",4725,Brooklyn,East New York,1956
American Scottish Foundation,"Arts, culture, creative practices",3464,Manhattan,Murray Hill-Kips Bay,1956
American Scottish Foundation,"Arts, culture, creative practices",3719,Brooklyn,Midwood,1956
American Scottish Foundation,"Arts, culture, creative practices",1074,Staten Island,New Springville-Bloomfield-Travis,1956
American Scottish Foundation,"Arts, culture, creative practices",2783,Brooklyn,Bay Ridge,1956
American Scottish Foundation,"Arts, culture, creative practices",1392,Staten Island,Great Kills,1956
American Scottish Foundation,"Arts, culture, creative practices",5411,Queens,Flushing,1956
American Scottish Foundation,"Arts, culture, creative practices",693,Staten Island,Rossville-Woodrow,1956
American Scottish Foundation,"Arts, culture, creative practices",3714,Brooklyn,Flatbush,1956
American Scottish Foundation,"Arts, culture, creative practices",923,Staten Island,Arden Heights,1956
American Scottish Foundation,"Arts, culture, creative practices",3151,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,1956
American Scottish Foundation,"Arts, culture, creative practices",3335,Brooklyn,Bensonhurst East,1956
American Scottish Foundation,"Arts, culture, creative practices",3230,Manhattan,Hudson Yards-Chelsea-Flatiron-Union Square,1956
American Scottish Foundation,"Arts, culture, creative practices",3647,Brooklyn,Homecrest,1956
American Scottish Foundation,"Arts, culture, creative practices",6433,Queens,Queens Village,1956
American Scottish Foundation,"Arts, culture, creative practices",5645,Queens,Murray Hill,1956
American Scottish Foundation,"Arts, culture, creative practices",4266,Brooklyn,Georgetown-Mill Basin,1956
American Scottish Foundation,"Arts, culture, creative practices",3648,Brooklyn,Homecrest,1956
American Scottish Foundation,"Arts, culture, creative practices",3411,Brooklyn,Bensonhurst East,1956
American Scottish Foundation,"Arts, culture, creative practices",3254,Brooklyn,Bensonhurst West,1956
American Scottish Foundation,"Arts, culture, creative practices",3928,Queens,Queensbridge-Ravenswood-Long Island City,1956
American Scottish Foundation,"Arts, culture, creative practices",3017,Brooklyn,Dyker Heights,1956
American Scottish Foundation,"Arts, culture, creative practices",3845,Manhattan,East Harlem South,1956
American Scottish Foundation,"Arts, culture, creative practices",5410,Queens,Flushing,1956
American Scottish Foundation,"Arts, culture, creative practices",4309,Bronx,Mott Haven-Port Morris,1956
American Scottish Foundation,"Arts, culture, creative practices",4344,Brooklyn,Georgetown-Mill Basin,1956
American Scottish Foundation,"Arts, culture, creative practices",6595,Queens,Laurelton,1956
American Scottish Foundation,"Arts, culture, creative practices",845,Staten Island,New Springville-Bloomfield-Travis,1956
American Scottish Foundation,"Arts, culture, creative practices",3168,Brooklyn,Sunset Park West,1956
American Scottish Foundation,"Arts, culture, creative practices",5876,Queens,Bayside-Bayside Hills,1956
